eventId,eventSlug,eventName,fileName,personCount
event_bachelor_party,bachelor-party,Bachelor Party,bachelor-party.csv,24
event_birthday_party_legacy,birthday-party-legacy,Birthday Party,birthday-party-legacy.csv,24
